timestamp,open,high,low,close,volume
2025-08-01 04:00:00,210.62,213.34,201.27,202.15,104434473
2025-08-04 04:00:00,204.27,207.64,201.44,203.12,75109298
2025-08-05 04:00:00,203.17,205.11,201.93,202.69,44155079
2025-08-06 04:00:00,205.39,215.13,205.35,213.01,108483103
2025-08-07 04:00:00,218.62,220.6,216.33,219.78,90224834
2025-08-08 04:00:00,220.58,230.74,219.0,229.09,113853967
2025-08-11 04:00:00,227.92,229.56,224.76,227.18,61806132
2025-08-12 04:00:00,228.005,230.8,227.07,229.65,55672301
2025-08-13 04:00:00,231.07,235.0,230.43,233.33,69878546
2025-08-14 04:00:00,234.055,235.12,230.85,232.78,51917397
