timestamp,open,high,low,close,volume
2025-08-01 04:00:00,189.92,197.06,189.785,195.22,8081951
2025-08-04 04:00:00,194.81,197.37,193.72,197.19,4217462
2025-08-05 04:00:00,197.55,199.89,196.48,198.55,4153422
2025-08-06 04:00:00,197.23,198.05,194.67,196.3,4057267
2025-08-07 04:00:00,197.05,199.83,196.5,198.86,4683382
2025-08-08 04:00:00,199.08,200.33,197.14,198.05,4101771
2025-08-11 04:00:00,198.18,199.43,196.89,198.64,6068073
2025-08-12 04:00:00,198.09,200.02,197.05,198.64,3050118
2025-08-13 04:00:00,199.76,201.72,199.2108,201.47,3558497
2025-08-14 04:00:00,201.8,205.06,200.86,204.68,4635786
